Hour (Local Time),US,UK,Australia,Canada,New_Zealand,Germany
12:00 AM,0.10,0.08,0.08,0.10,0.07,0.07
1:00 AM,0.05,0.04,0.04,0.05,0.04,0.03
2:00 AM,0.03,0.02,0.02,0.03,0.02,0.02
3:00 AM,0.02,0.02,0.02,0.02,0.02,0.02
4:00 AM,0.02,0.02,0.02,0.02,0.02,0.02
5:00 AM,0.03,0.03,0.03,0.03,0.03,0.03
6:00 AM,0.12,0.08,0.08,0.10,0.08,0.07
7:00 AM,0.25,0.18,0.15,0.22,0.15,0.15
8:00 AM,0.40,0.35,0.30,0.38,0.28,0.30
9:00 AM,0.55,0.50,0.50,0.52,0.48,0.45
10:00 AM,0.65,0.60,0.55,0.62,0.52,0.52
11:00 AM,0.75,0.55,0.55,0.70,0.52,0.50
12:00 PM,0.85,0.55,0.60,0.80,0.58,0.52
1:00 PM,0.95,0.60,0.60,0.90,0.58,0.55
2:00 PM,0.90,0.60,0.55,0.85,0.55,0.55
3:00 PM,0.85,0.65,0.60,0.80,0.58,0.58
4:00 PM,0.80,0.70,0.65,0.75,0.62,0.65
5:00 PM,0.75,0.75,0.70,0.72,0.68,0.72
6:00 PM,0.70,0.80,0.80,0.75,0.78,0.82
7:00 PM,0.80,0.90,0.90,0.85,0.88,0.92
8:00 PM,0.85,0.95,0.95,0.88,0.92,0.95
9:00 PM,0.75,0.85,0.80,0.78,0.78,0.90
10:00 PM,0.50,0.55,0.50,0.50,0.48,0.60
11:00 PM,0.25,0.20,0.18,0.22,0.17,0.22
